business_number,title,business_type,url,affair_id,submitted_by,councillor_id,parliamentary_group,party,submission_date,submitted_in,state,responsible_authority,first_council,cosigners,cosigner_count,topics,title_length,is_outlier,submission_year,party_short,topic_count
26.1035,Kulturgütertransfergesetz– Rechtssicherheit und Wettbewerbsfähigkeit des Standorts Schweiz,Anfrage,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20261035,20261035,Pamini Paolo,10842,Fraktion der Schweizerischen Volkspartei,Schweizerische Volkspartei,2026-06-19,Nationalrat,Erledigt,Departement des Innern (EDI),Nationalrat,,0,Internationale Politik; Kultur,90,False,2026,SVP,2
26.1034,Die USA verhindern AHV-Auszahlungen an Schweizer Staatsangehörige,Anfrage,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20261034,20261034,Molina Fabian,4223,Sozialdemokratische Fraktion,Sozialdemokratische Partei der Schweiz,2026-06-19,Nationalrat,Erledigt,Departement des Innern (EDI),Nationalrat,Berli Rudi,1,Internationale Politik; Sozialer Schutz; Staatspolitik,65,False,2026,SP,3
26.1032,Die Empfehlungen zur Beschleunigung der Verfahren im Planungs- und Baurecht umsetzen,Anfrage,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20261032,20261032,Farinelli Alex,4259,FDP-Liberale Fraktion,FDP.Die Liberalen,2026-06-18,Nationalrat,Erledigt,"Departement für Umwelt, Verkehr, Energie und Kommunikation (UVEK)",Nationalrat,,0,Raumplanung und Wohnungswesen; Staatspolitik,84,False,2026,FDP,2
26.1031,Wahl der Auszahlungshäufigkeit bei Transaktionen mit der Postfinance Card,Anfrage,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20261031,20261031,Feller Olivier,4077,FDP-Liberale Fraktion,FDP.Die Liberalen,2026-06-17,Nationalrat,Erledigt,"Departement für Umwelt, Verkehr, Energie und Kommunikation (UVEK)",Nationalrat,,0,Finanzwesen; Medien und Kommunikation; Staatspolitik; Wirtschaft,73,False,2026,FDP,4
26.1030,"Wegleitung zum Lohnausweis. Streichung der Empfehlung, den genauen Beschäftigungsgrad anzugeben",Anfrage,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20261030,20261030,Feller Olivier,4077,FDP-Liberale Fraktion,FDP.Die Liberalen,2026-06-17,Nationalrat,Erledigt,Finanzdepartement (EFD),Nationalrat,,0,Beschäftigung und Arbeit; Steuer,95,False,2026,FDP,2
26.1029,Missbrauch im Sozialversicherungswesen. An wen soll man sich wenden und was bringt das?,Anfrage,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20261029,20261029,Pamini Paolo,10842,Fraktion der Schweizerischen Volkspartei,Schweizerische Volkspartei,2026-06-17,Nationalrat,Erledigt,Departement des Innern (EDI),Nationalrat,Marchesi Piero; Quadri Lorenzo,2,Menschenrechte; Sozialer Schutz; Strafrecht,87,False,2026,SVP,3
26.1028,Fehlende gesetzliche Verankerung des Zutrittsrechts von Führ- und Assistenzhunden,Anfrage,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20261028,20261028,Roth Franziska,4283,Sozialdemokratische Fraktion,Sozialdemokratische Partei der Schweiz,2026-06-16,Ständerat,Erledigt,Departement des Innern (EDI),Ständerat,,0,Soziale Fragen,81,False,2026,SP,1
26.1027,"Ergänzende Zahlen und Daten zu ""UNICEF Report Card 20""",Anfrage,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20261027,20261027,Schläfli Nina,10826,Sozialdemokratische Fraktion,Sozialdemokratische Partei der Schweiz,2026-06-15,Nationalrat,Erledigt,Departement des Innern (EDI),Nationalrat,,0,Soziale Fragen,54,False,2026,SP,1
26.1026,Diversität und Inklusion in Unternehmen. Verliert Chancengleichheit an Bedeutung?,Anfrage,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20261026,20261026,Alijaj Islam,10812,Sozialdemokratische Fraktion,Sozialdemokratische Partei der Schweiz,2026-06-10,Nationalrat,Erledigt,"Departement für Wirtschaft, Bildung und Forschung (WBF)",Nationalrat,,0,Beschäftigung und Arbeit; Soziale Fragen,81,False,2026,SP,2
26.1025,Medizinische Versorgung bei Personen mit ASS oder kognitiven Beeinträchtigungen,Anfrage,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20261025,20261025,Durrer-Knobel Regina,10815,Die Mitte-Fraktion. Die Mitte. EVP.,Die Mitte,2026-06-03,Nationalrat,Erledigt,Departement des Innern (EDI),Nationalrat,,0,Gesundheit; Soziale Fragen,79,False,2026,Mitte,2
26.1024,"Anlagestrategie für Kleinanleger, Spar- und Investitionsunion und Wettbewerbsfähigkeit des Finanzplatzes Schweiz",Anfrage,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20261024,20261024,Farinelli Alex,4259,FDP-Liberale Fraktion,FDP.Die Liberalen,2026-06-03,Nationalrat,Erledigt,Finanzdepartement (EFD),Nationalrat,,0,Europapolitik; Finanzwesen; Wirtschaft,112,False,2026,FDP,3
26.1023,Entgleisung im Gotthard-Basistunnel. Erfordern die neuen Erkenntnisse eine Neubewertung der ersten Schlussfolgerungen?,Anfrage,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20261023,20261023,Gianini Simone,10807,FDP-Liberale Fraktion,FDP.Die Liberalen,2026-06-01,Nationalrat,Erledigt,"Departement für Umwelt, Verkehr, Energie und Kommunikation (UVEK)",Nationalrat,,0,Verkehr,118,False,2026,FDP,1
