business_number,submission_date,submitted_in,councillor_id,party,topic
26.1035,2026-06-19,Nationalrat,10842,Schweizerische Volkspartei,Internationale Politik
26.1035,2026-06-19,Nationalrat,10842,Schweizerische Volkspartei,Kultur
26.1034,2026-06-19,Nationalrat,4223,Sozialdemokratische Partei der Schweiz,Internationale Politik
26.1034,2026-06-19,Nationalrat,4223,Sozialdemokratische Partei der Schweiz,Sozialer Schutz
26.1034,2026-06-19,Nationalrat,4223,Sozialdemokratische Partei der Schweiz,Staatspolitik
26.1032,2026-06-18,Nationalrat,4259,FDP.Die Liberalen,Raumplanung und Wohnungswesen
26.1032,2026-06-18,Nationalrat,4259,FDP.Die Liberalen,Staatspolitik
26.1031,2026-06-17,Nationalrat,4077,FDP.Die Liberalen,Finanzwesen
26.1031,2026-06-17,Nationalrat,4077,FDP.Die Liberalen,Medien und Kommunikation
26.1031,2026-06-17,Nationalrat,4077,FDP.Die Liberalen,Staatspolitik
26.1031,2026-06-17,Nationalrat,4077,FDP.Die Liberalen,Wirtschaft
26.1030,2026-06-17,Nationalrat,4077,FDP.Die Liberalen,Beschäftigung und Arbeit
26.1030,2026-06-17,Nationalrat,4077,FDP.Die Liberalen,Steuer
26.1029,2026-06-17,Nationalrat,10842,Schweizerische Volkspartei,Menschenrechte
26.1029,2026-06-17,Nationalrat,10842,Schweizerische Volkspartei,Sozialer Schutz
26.1029,2026-06-17,Nationalrat,10842,Schweizerische Volkspartei,Strafrecht
26.1028,2026-06-16,Ständerat,4283,Sozialdemokratische Partei der Schweiz,Soziale Fragen
26.1027,2026-06-15,Nationalrat,10826,Sozialdemokratische Partei der Schweiz,Soziale Fragen
26.1026,2026-06-10,Nationalrat,10812,Sozialdemokratische Partei der Schweiz,Beschäftigung und Arbeit
26.1026,2026-06-10,Nationalrat,10812,Sozialdemokratische Partei der Schweiz,Soziale Fragen
26.1025,2026-06-03,Nationalrat,10815,Die Mitte,Gesundheit
26.1025,2026-06-03,Nationalrat,10815,Die Mitte,Soziale Fragen
26.1024,2026-06-03,Nationalrat,4259,FDP.Die Liberalen,Europapolitik
26.1024,2026-06-03,Nationalrat,4259,FDP.Die Liberalen,Finanzwesen
26.1024,2026-06-03,Nationalrat,4259,FDP.Die Liberalen,Wirtschaft
26.1023,2026-06-01,Nationalrat,10807,FDP.Die Liberalen,Verkehr
26.1022,2026-03-20,Nationalrat,4157,Schweizerische Volkspartei,Verkehr
26.1021,2026-03-20,Nationalrat,4288,GRÜNE Schweiz,Verkehr
26.1020,2026-03-20,Ständerat,4283,Sozialdemokratische Partei der Schweiz,Internationale Politik
26.1020,2026-03-20,Ständerat,4283,Sozialdemokratische Partei der Schweiz,Internationales Recht
26.1020,2026-03-20,Ständerat,4283,Sozialdemokratische Partei der Schweiz,Sicherheitspolitik
26.1020,2026-03-20,Ständerat,4283,Sozialdemokratische Partei der Schweiz,Soziale Fragen
26.1019,2026-03-19,Nationalrat,4223,Sozialdemokratische Partei der Schweiz,Finanzwesen
26.1019,2026-03-19,Nationalrat,4223,Sozialdemokratische Partei der Schweiz,Internationale Politik
26.1019,2026-03-19,Nationalrat,4223,Sozialdemokratische Partei der Schweiz,Sicherheitspolitik
26.1019,2026-03-19,Nationalrat,4223,Sozialdemokratische Partei der Schweiz,Wirtschaft
26.1018,2026-03-19,Nationalrat,10812,Sozialdemokratische Partei der Schweiz,Soziale Fragen
26.1018,2026-03-19,Nationalrat,10812,Sozialdemokratische Partei der Schweiz,Sozialer Schutz
26.1017,2026-03-19,Nationalrat,4318,Sozialdemokratische Partei der Schweiz,Gesundheit
26.1017,2026-03-19,Nationalrat,4318,Sozialdemokratische Partei der Schweiz,Sozialer Schutz
26.1016,2026-03-19,Nationalrat,4057,Sozialdemokratische Partei der Schweiz,Parlament
26.1015,2026-03-18,Nationalrat,16109,GRÜNE Schweiz,Beschäftigung und Arbeit
26.1015,2026-03-18,Nationalrat,16109,GRÜNE Schweiz,Landwirtschaft
